tournament_id,level,gender,year,lang,local_main,candidate_title,recoverable_redlinks,status
u17m2007,u17,m,2007,ar,كأس العالم تحت 17 سنة لكرة القدم 2007,تشكيلات كأس العالم تحت 17 سنة لكرة القدم 2007,22,candidate
u17m2009,u17,m,2009,es,Copa Mundial de Fútbol Sub-17 de 2009,,56,no_squad_page
u17m2009,u17,m,2009,ar,كأس العالم تحت 17 سنة لكرة القدم 2009,تشكيلات الفرق في كأس العالم للناشئين لكرة القدم 2009,30,candidate
u17m2009,u17,m,2009,ar,كأس العالم تحت 17 سنة لكرة القدم 2009,تشكيلات كأس العالم تحت 17 سنة لكرة القدم 2009,30,candidate
u17m2009,u17,m,2009,fr,Coupe du monde de football des moins de 17 ans 2009,,25,no_squad_page
u17m2009,u17,m,2009,ja,2009 FIFA U-17ワールドカップ,2009 南米U-17選手権,6,candidate
u17m2009,u17,m,2009,ja,2009 FIFA U-17ワールドカップ,CONCACAF U-17選手権2009,6,candidate
u17m2009,u17,m,2009,ja,2009 FIFA U-17ワールドカップ,OFC U-17選手権2009,6,candidate
u17m2009,u17,m,2009,ja,2009 FIFA U-17ワールドカップ,UEFA U-17欧州選手権2009,6,candidate
u17m2009,u17,m,2009,ja,2009 FIFA U-17ワールドカップ,アフリカ U-17選手権2009,6,candidate
u17m2011,u17,m,2011,fr,Coupe du monde de football des moins de 17 ans 2011,,54,no_squad_page
u17m2011,u17,m,2011,es,Copa Mundial de Fútbol Sub-17 de 2011,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,42,candidate
u17m2011,u17,m,2011,ko,2011년 FIFA U-17 월드컵,2011년 FIFA U-17 월드컵 선수 명단,20,candidate
u17m2011,u17,m,2011,uz,FIFA U-17 Jahon chempionati 2011,FIFA U-17 Jahon chempionati tarkiblari 2011,17,candidate
u17m2013,u17,m,2013,es,Copa Mundial de Fútbol Sub-17 de 2013,,69,no_squad_page
u17m2013,u17,m,2013,ar,كأس العالم تحت 17 سنة لكرة القدم 2013,تشكيلات كأس العالم تحت 17 سنة لكرة القدم 2013,46,candidate
u17m2013,u17,m,2013,fr,Coupe du monde de football des moins de 17 ans 2013,,42,no_squad_page
u17m2013,u17,m,2013,ru,Чемпионат мира по футболу среди юношеских команд 2013,Чемпионат мира по футболу среди юношеских команд 2013 (составы),13,candidate
u17m2015,u17,m,2015,es,Copa Mundial de Fútbol Sub-17 de 2015,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,73,candidate
u17m2015,u17,m,2015,fr,Coupe du monde de football des moins de 17 ans 2015,,30,no_squad_page
u17m2015,u17,m,2015,ko,2015년 FIFA U-17 월드컵,2015년 FIFA U-17 월드컵 선수 명단,24,candidate
u17m2015,u17,m,2015,ar,كأس العالم تحت 17 سنة لكرة القدم 2015,تشكيلات كأس العالم تحت 17 سنة لكرة القدم 2015,21,candidate
u17m2017,u17,m,2017,es,Copa Mundial de Fútbol Sub-17 de 2017,,58,no_squad_page
u17m2017,u17,m,2017,fr,Coupe du monde de football des moins de 17 ans 2017,,50,no_squad_page
u17m2017,u17,m,2017,ko,2017년 FIFA U-17 월드컵,2017년 FIFA U-17 월드컵 선수 명단,21,candidate
u17m2017,u17,m,2017,ar,كأس العالم تحت 17 سنة لكرة القدم 2017,تشكيلات كأس العالم تحت 17 سنة لكرة القدم 2017,14,candidate
u20m1999,u20,m,1999,es,Copa Mundial de Fútbol Sub-20 de 1999,,29,no_squad_page
u20m1999,u20,m,1999,fr,Coupe du monde de football juniors 1999,,16,no_squad_page
u20m1999,u20,m,1999,ar,بطولة العالم للشباب لكرة القدم 1999,,12,no_squad_page
u20m1999,u20,m,1999,ru,Чемпионат мира по футболу среди молодёжных команд 1999,Чемпионат мира по футболу среди молодёжных команд 1999 (составы),11,candidate
u20m2001,u20,m,2001,es,Copa Mundial de Fútbol Sub-20 de 2001,,24,no_squad_page
u20m2001,u20,m,2001,pt,Copa do Mundo FIFA Sub-20 de 2001,,9,no_squad_page
u20m2001,u20,m,2001,fa,,,9,no_local_tournament_article
u20m2001,u20,m,2001,fi,Jalkapallon nuorten maailmanmestaruuskilpailut 2001,,7,no_squad_page
u20m2003,u20,m,2003,ar,بطولة العالم للشباب لكرة القدم 2003,,28,no_squad_page
u20m2003,u20,m,2003,fr,Coupe du monde de football juniors 2003,,25,no_squad_page
u20m2003,u20,m,2003,es,Copa Mundial de Fútbol Sub-20 de 2003,,24,no_squad_page
u20m2003,u20,m,2003,uz,Futbol boʻyicha 2003-yilgi yoshlar oʻrtasidagi jahon chempionati,FIFA Jahon yoshlari chempionati tarkiblari 2003,9,candidate
u20m2005,u20,m,2005,es,Copa Mundial de Fútbol Sub-20 de 2005,,29,no_squad_page
u20m2005,u20,m,2005,ar,بطولة العالم للشباب لكرة القدم 2005,,18,no_squad_page
u20m2005,u20,m,2005,fr,Coupe du monde de football juniors 2005,,17,no_squad_page
u20m2005,u20,m,2005,tr,2005 FIFA Dünya Gençler Şampiyonası,2005 FIFA Dünya Gençler Şampiyonası kadroları,3,candidate
u20m2007,u20,m,2007,es,Copa Mundial de Fútbol Sub-20 de 2007,,22,no_squad_page
u20m2007,u20,m,2007,fr,Coupe du monde de football des moins de 20 ans 2007,,16,no_squad_page
u20m2007,u20,m,2007,ko,2007년 FIFA U-20 월드컵,2007년 FIFA U-20 월드컵 선수 명단,11,candidate
u20m2007,u20,m,2007,ar,كأس العالم تحت 20 سنة لكرة القدم 2007,,4,no_squad_page
u20m2009,u20,m,2009,es,Copa Mundial de Fútbol Sub-20 de 2009,,24,no_squad_page
u20m2009,u20,m,2009,uz,Futbol boʻyicha 2009-yilgi U-20 jahon chempionati,FIFA U-20 Jahon chempionati tarkiblari 2009,9,candidate
u20m2009,u20,m,2009,ru,Чемпионат мира по футболу среди молодёжных команд 2009,Чемпионат мира по футболу среди молодёжных команд 2009 (составы),9,candidate
u20m2009,u20,m,2009,fr,Coupe du monde de football des moins de 20 ans 2009,,8,no_squad_page
u20m2011,u20,m,2011,es,Copa Mundial de Fútbol Sub-20 de 2011,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-20 de 2011,45,candidate
u20m2011,u20,m,2011,fr,Coupe du monde de football des moins de 20 ans 2011,,24,no_squad_page
u20m2011,u20,m,2011,ko,2011년 FIFA U-20 월드컵,2011년 FIFA U-20 월드컵 선수 명단,18,candidate
u20m2011,u20,m,2011,ar,كأس العالم تحت 20 سنة لكرة القدم 2011,,3,no_squad_page
u20m2013,u20,m,2013,es,Copa Mundial de Fútbol Sub-20 de 2013,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-20 de 2013,33,candidate
u20m2013,u20,m,2013,uz,Futbol boʻyicha 2013-yilgi U-20 jahon chempionati,FIFA U-20 Jahon chempionati 2013 jamoalar tarkiblari,13,candidate
u20m2013,u20,m,2013,uz,Futbol boʻyicha 2013-yilgi U-20 jahon chempionati,FIFA U-20 Jahon chempionati tarkiblari 2013,13,candidate
u20m2013,u20,m,2013,ru,Чемпионат мира по футболу среди молодёжных команд 2013,Чемпионат мира по футболу среди молодёжных команд 2013 (составы),13,candidate
