team,gender,senior_year,youth_level,youth_year,status
France,w,2023,u20,2014,ingested
Germany,w,2023,u20,2014,ingested
Haiti,w,2023,u20,2014,not_qualified
Italy,w,2023,u20,2014,not_qualified
Jamaica,w,2023,u20,2014,not_qualified
Japan,w,2023,u20,2014,not_qualified
Morocco,w,2023,u20,2014,not_qualified
Netherlands,w,2023,u20,2014,not_qualified
New Zealand,w,2023,u20,2014,ingested
Nigeria,w,2023,u20,2014,ingested
Norway,w,2023,u20,2014,not_qualified
Panama,w,2023,u20,2014,not_qualified
Philippines,w,2023,u20,2014,not_qualified
Portugal,w,2023,u20,2014,not_qualified
Republic of Ireland,w,2023,u20,2014,not_qualified
South Africa,w,2023,u20,2014,not_qualified
South Korea,w,2023,u20,2014,ingested
Spain,w,2023,u20,2014,not_qualified
Sweden,w,2023,u20,2014,not_qualified
Switzerland,w,2023,u20,2014,not_qualified
United States,w,2023,u20,2014,ingested
Vietnam,w,2023,u20,2014,not_qualified
Zambia,w,2023,u20,2014,not_qualified
Argentina,w,2023,u20,2016,not_qualified
Australia,w,2023,u20,2016,not_qualified
Brazil,w,2023,u20,2016,ingested
Canada,w,2023,u20,2016,ingested
China PR,w,2023,u20,2016,not_qualified
Colombia,w,2023,u20,2016,not_qualified
Costa Rica,w,2023,u20,2016,not_qualified
Denmark,w,2023,u20,2016,not_qualified
England,w,2023,u20,2016,not_qualified
France,w,2023,u20,2016,ingested
Germany,w,2023,u20,2016,ingested
Haiti,w,2023,u20,2016,not_qualified
Italy,w,2023,u20,2016,not_qualified
Jamaica,w,2023,u20,2016,not_qualified
Japan,w,2023,u20,2016,ingested
Morocco,w,2023,u20,2016,not_qualified
Netherlands,w,2023,u20,2016,not_qualified
New Zealand,w,2023,u20,2016,ingested
Nigeria,w,2023,u20,2016,ingested
Norway,w,2023,u20,2016,not_qualified
Panama,w,2023,u20,2016,not_qualified
Philippines,w,2023,u20,2016,not_qualified
Portugal,w,2023,u20,2016,not_qualified
Republic of Ireland,w,2023,u20,2016,not_qualified
South Africa,w,2023,u20,2016,not_qualified
South Korea,w,2023,u20,2016,ingested
Spain,w,2023,u20,2016,ingested
Sweden,w,2023,u20,2016,ingested
Switzerland,w,2023,u20,2016,not_qualified
United States,w,2023,u20,2016,ingested
Vietnam,w,2023,u20,2016,not_qualified
Zambia,w,2023,u20,2016,not_qualified
Argentina,w,2023,u20,2018,not_qualified
Australia,w,2023,u20,2018,not_qualified
Brazil,w,2023,u20,2018,ingested
Canada,w,2023,u20,2018,not_qualified
China PR,w,2023,u20,2018,ingested
Colombia,w,2023,u20,2018,not_qualified
Costa Rica,w,2023,u20,2018,not_qualified
Denmark,w,2023,u20,2018,not_qualified
England,w,2023,u20,2018,ingested
France,w,2023,u20,2018,ingested
Germany,w,2023,u20,2018,ingested
Haiti,w,2023,u20,2018,ingested
Italy,w,2023,u20,2018,not_qualified
Jamaica,w,2023,u20,2018,not_qualified
Japan,w,2023,u20,2018,ingested
Morocco,w,2023,u20,2018,not_qualified
Netherlands,w,2023,u20,2018,ingested
New Zealand,w,2023,u20,2018,ingested
Nigeria,w,2023,u20,2018,ingested
Norway,w,2023,u20,2018,not_qualified
Panama,w,2023,u20,2018,not_qualified
Philippines,w,2023,u20,2018,not_qualified
Portugal,w,2023,u20,2018,not_qualified
Republic of Ireland,w,2023,u20,2018,not_qualified
South Africa,w,2023,u20,2018,not_qualified
